district,rice_type_name,season_name,quantity_kg
Colombo,Nadu,Maha 2024/2025,6560377
Colombo,Keeri Samba,Maha 2024/2025,728931
Colombo,Samba,Maha 2024/2025,761692
Gampaha,Nadu,Maha 2024/2025,22661048
Gampaha,Keeri Samba,Maha 2024/2025,2517894
Gampaha,Samba,Maha 2024/2025,2631058
Kalutara,Nadu,Maha 2024/2025,19743061
Kalutara,Keeri Samba,Maha 2024/2025,2193673
Kalutara,Samba,Maha 2024/2025,2292266
Kandy,Nadu,Maha 2024/2025,25119458
Kandy,Keeri Samba,Maha 2024/2025,2791051
Kandy,Samba,Maha 2024/2025,2916491
Matale,Nadu,Maha 2024/2025,58721530
Matale,Keeri Samba,Maha 2024/2025,6524614
Matale,Samba,Maha 2024/2025,6817856
Nuwaraeliya,Nadu,Maha 2024/2025,6377036
Nuwaraeliya,Keeri Samba,Maha 2024/2025,708560
Nuwaraeliya,Samba,Maha 2024/2025,740405
Galle,Nadu,Maha 2024/2025,14013833
Galle,Keeri Samba,Maha 2024/2025,1557093
Galle,Samba,Maha 2024/2025,1627074
Matara,Nadu,Maha 2024/2025,24177488
Matara,Keeri Samba,Maha 2024/2025,2686388
Matara,Samba,Maha 2024/2025,2807124
Hambantota,Nadu,Maha 2024/2025,147427187
Hambantota,Keeri Samba,Maha 2024/2025,16380799
Hambantota,Samba,Maha 2024/2025,17117014
Jaffna,Nadu,Maha 2024/2025,15829325
Jaffna,Keeri Samba,Maha 2024/2025,1758814
Jaffna,Samba,Maha 2024/2025,1837862
Mannar,Nadu,Maha 2024/2025,77393060
Mannar,Keeri Samba,Maha 2024/2025,8599229
Mannar,Samba,Maha 2024/2025,8985711
Vavuniya,Nadu,Maha 2024/2025,62947355
Vavuniya,Keeri Samba,Maha 2024/2025,6994151
Vavuniya,Samba,Maha 2024/2025,7308494
Mulativu,Nadu,Maha 2024/2025,48639360
Mulativu,Keeri Samba,Maha 2024/2025,5404373
Mulativu,Samba,Maha 2024/2025,5647267
Killinochchi,Nadu,Maha 2024/2025,50547745
Killinochchi,Keeri Samba,Maha 2024/2025,5616416
